RankXc	ScanNum	ChargeState	MultiProteinID	Reference	
1	268	1	3	SO_4173
1	273	1	1	SO_1197
1	273	1	2	SO_3092
1	275	1	1	SO_0907
1	275	1	2	SO_1108
1	289	1	1	SO_0093
1	289	1	2	SO_0988
1	290	1	1	SO_0134
1	290	1	2	SO_4467
1	318	1	1	SO_2418
1	318	1	2	SO_3360
1	318	1	3	SO_3823
1	318	1	4	SO_3878
1	318	1	5	SO_4284
1	318	1	6	SO_4497
1	323	1	1	SO_0370
1	323	1	2	SO_0922
1	332	1	1	SO_0425
1	332	1	2	SO_3525
1	335	1	1	SO_1039
1	335	1	2	SO_1599
1	335	1	3	SO_2399
1	335	1	4	SO_3164
1	336	1	1	SO_0154
1	336	1	2	SO_2073
1	337	1	1	SO_0174
1	337	1	2	SO_2559
1	340	1	1	SO_0122
1	340	1	2	SO_2863
1	340	1	3	SO_3058
1	345	1	1	SO_0154
1	345	1	2	SO_2073
1	346	1	1	SO_0474
1	346	1	2	SO_1219
1	346	1	3	SO_2495
1	346	1	4	SO_2778
1	346	1	5	SO_3148
1	346	1	6	SO_4734
1	350	1	1	SO_2618
1	350	1	2	SO_3303
1	354	1	1	SO_3846
1	354	1	2	SO_3871
1	356	1	1	SO_0575
1	356	1	10	SO_4447
1	356	1	11	SO_4544
1	356	1	2	SO_0577
1	356	1	3	SO_0739
1	356	1	4	SO_0918
1	356	1	5	SO_1724
1	356	1	6	SO_1928
1	356	1	7	SO_2697
1	356	1	8	SO_4340
1	356	1	9	SO_4445
1	358	1	1	SO_1771
1	358	1	2	SO_4798
1	359	1	1	SO_2082
1	359	1	2	SO_4098
1	363	1	1	SO_0152
1	363	1	10	SO_2123
1	363	1	11	SO_2140
1	363	1	12	SO_3193
1	363	1	13	SO_3235
1	363	1	14	SO_3432
1	363	1	15	SO_3780
1	363	1	16	SO_4355
1	363	1	17	SO_4677
1	363	1	2	SO_0915
1	363	1	3	SO_0988
1	363	1	4	SO_1143
1	363	1	5	SO_1408
1	363	1	6	SO_1441
1	363	1	7	SO_1462
1	363	1	8	SO_1657
1	363	1	9	SO_2093
1	366	1	1	SO_0184
1	366	1	2	SO_1380
1	366	1	3	SO_2748
1	368	1	1	SO_0391
1	368	1	2	SO_2387
1	368	1	3	SO_2944
1	368	1	4	SO_A0150
1	373	1	1	SO_2082
1	373	1	2	SO_4098
1	376	1	1	SO_1580
1	376	1	2	SO_2728
1	378	1	1	SO_0040
1	378	1	2	SO_3170
1	378	1	3	SO_3554
1	380	1	1	SO_1651
1	380	1	2	SO_3023
1	382	1	1	SO_1912
1	382	1	2	SO_A0006
1	393	1	1	SO_1036
1	393	1	2	SO_1571
1	394	1	1	SO_1180
1	394	1	2	SO_2148
1	394	1	3	SO_3638
1	394	1	4	SO_3885
1	398	1	1	SO_0770
1	398	1	2	SO_3504
1	405	1	1	SO_1114
1	405	1	2	SO_1291
1	405	1	3	SO_2109
1	411	1	1	SO_1066
1	411	1	2	SO_4109
1	423	1	1	SO_0727
1	423	1	2	SO_1103
1	424	1	1	SO_0564
1	424	1	2	SO_4080
1	431	1	1	SO_0911
1	431	1	2	SO_2577
1	431	1	3	SO_2618
1	431	1	4	SO_3204
1	431	1	5	SO_3211
1	431	1	6	SO_4756
1	431	1	7	SO_A0006
1	431	1	8	SO_A0095
1	433	1	1	SO_1156
1	433	1	2	SO_3599
1	437	1	1	SO_1000
1	437	1	2	SO_3660
1	438	1	1	SO_0017
1	438	1	2	SO_0988
1	449	1	1	SO_2019
1	449	1	2	SO_2390
1	449	1	3	SO_2661
1	449	1	4	SO_3562
1	449	1	5	SO_A0089
1	454	1	1	SO_0047
1	454	1	2	SO_2601
1	456	1	1	SO_1190
1	456	1	2	SO_2461
1	456	1	3	SO_2844
1	459	1	1	SO_0250
1	459	1	2	SO_2993
1	464	1	1	SO_1657
1	464	1	2	SO_2670
1	465	1	1	SO_3004
1	465	1	2	SO_3313
1	469	1	1	SO_1324
1	469	1	2	SO_4453
1	483	1	1	SO_0435
1	483	1	2	SO_1351
1	484	1	1	SO_2358
1	484	1	2	SO_3624
1	487	1	1	SO_0479
1	487	1	2	SO_0572
1	488	1	1	SO_1336
1	488	1	2	SO_3051
1	490	1	1	SO_3237
1	490	1	2	SO_3238
1	495	1	1	SO_2002
1	495	1	2	SO_3564
1	497	1	1	SO_2683
1	497	1	2	SO_3312
1	499	1	1	SO_0274
1	499	1	10	SO_2590
1	499	1	11	SO_2634
1	499	1	12	SO_2702
1	499	1	13	SO_3113
1	499	1	14	SO_3154
1	499	1	15	SO_3288
1	499	1	16	SO_3311
